AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
284260,PANORAMICAL,17-Sep-15,0,9.99,0,TRUE,TRUE,FALSE,0,"Fernando Ramallo,David Kanaga",Finji,"Single-player,Full controller support,Steam Cloud",Indie,183,21
855740,Bum Simulator,26-Aug-21,0,17.99,0,TRUE,FALSE,FALSE,0,Ragged Games,"Ragged Games,PlayWay S.A.","Single-player,Full controller support,Captions available","Action,Adventure,Indie,Simulation,Early Access",1244,205
1404970,Sponsor-A-Planet,12-Oct-20,0,1.99,0,TRUE,FALSE,FALSE,0,TheTallJS,TheTallJS,Single-player,"Adventure,Casual,Indie,Simulation,Early Access",5,1
520540,Tribloos 3,16-Jul-18,0,5.99,1,TRUE,FALSE,FALSE,40,BumpkinBrothers,BumpkinBrothers,"Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie,Strategy",14,1
1149220,P.3,01-Oct-19,0,3.99,0,TRUE,FALSE,FALSE,14,DevJgame,DevJgame,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie",4,2
1502070,Survival In Africa,23-Jan-21,0,0,0,TRUE,FALSE,FALSE,0,Mambo,Mambo,Single-player,"Adventure,Indie",23,18
381050,The Ritual on Weylyn Island,04-Dec-15,18,11.99,0,TRUE,TRUE,FALSE,5,zemaGamez,zemaGamez,"Single-player,Full controller support","Action,Adventure,Indie",46,22
1732330,Ys IX -Monstrum NOX-,19-Jan-22,0,38.49,0,TRUE,FALSE,FALSE,54,Nihon Falcom,Clouded Leopard Entertainment,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,RPG",119,12
715010,Diamo XL,13-Oct-17,0,0.99,0,TRUE,TRUE,TRUE,14,Adamvision Studios,Adamvision Studios,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Casual,Indie",418,27
552900,Fields XY,07-Apr-17,0,3.99,0,TRUE,FALSE,FALSE,16,"Liam Hughes,Ryan Cooper","Liam Hughes,Ryan Cooper","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",Indie,34,7
1626410,Walk of Shame,28-Jun-21,0,0.99,0,TRUE,FALSE,FALSE,15,Ezen Studio,Ezen Studio,"Single-player,Steam Achievements","Casual,Indie",3,2
